File ID,Rep ID,Treatment,Spp,Timepoint,Cell count,Dilution ,Actual Cell count
Pc_TPC_T9_271021,R1,27c,PcB,T9,109229,1,109229
Pc_TPC_T9_271021,R2,27c,PcB,T9,76552,1,76552
Pc_TPC_T9_271021,R3,27c,PcB,T9,107739,1,107739
Pc_TPC_T9_271021,R1,29c,PcB,T9,24075,1,24075
Pc_TPC_T9_271021,R2,29c,PcB,T9,29244,1,29244
Pc_TPC_T9_271021,R3,29c,PcB,T9,32595,1,32595
Pc_TPC_T9_271021,R1,30c,PcB,T9,419,1,419
Pc_TPC_T9_271021,R2,30c,PcB,T9,294,1,294
Pc_TPC_T9_271021,R3,30c,PcB,T9,424,1,424
Pc_TPC_T10_281021,R1,15c,PcB,T10,2480,1,2480
Pc_TPC_T10_281021,R2,15c,PcB,T10,2290,1,2290
Pc_TPC_T10_281021,R3,15c,PcB,T10,2042,1,2042
Pc_TPC_T10_281021,R1,18c,PcB,T10,40943,1,40943
Pc_TPC_T10_281021,R2,18c,PcB,T10,29490,1,29490
Pc_TPC_T10_281021,R3,18c,PcB,T10,37202,1,37202
Pc_TPC_T10_281021,R1,20c,PcB,T10,26178,10,261780
Pc_TPC_T10_281021,R2,20c,PcB,T10,23199,10,231990
Pc_TPC_T10_281021,R3,20c,PcB,T10,18243,10,182430
Pc_TPC_T10_281021,R1,23c,PcB,T10,13978,10,139780
Pc_TPC_T10_281021,R2,23c,PcB,T10,51388,10,513880
Pc_TPC_T10_281021,R3,23c,PcB,T10,52719,10,527190
Pc_TPC_T10_281021,R1,25c,PcB,T10,47408,10,474080
Pc_TPC_T10_281021,R2,25c,PcB,T10,73149,10,731490
Pc_TPC_T10_281021,R3,25c,PcB,T10,88097,10,880970
Pc_TPC_T10_281021,R1,27c,PcB,T10,22498,10,224980
Pc_TPC_T10_281021,R2,27c,PcB,T10,15238,10,152380
Pc_TPC_T10_281021,R3,27c,PcB,T10,24519,10,245190
Pc_TPC_T10_281021,R1,29c,PcB,T10,47666,1,47666
Pc_TPC_T10_281021,R2,29c,PcB,T10,55155,1,55155
Pc_TPC_T10_281021,R3,29c,PcB,T10,59089,1,59089
Pc_TPC_T10_281021,R1,30c,PcB,T10,505,1,505
Pc_TPC_T10_281021,R2,30c,PcB,T10,429,1,429
