File ID,Rep ID,Treatment,Spp,Timepoint,Cell count,Dilution ,Actual Cell count
Pc_TPC_T5_231021,R1,20c,PcB,T5,17198,1,17198
Pc_TPC_T5_231021,R2,20c,PcB,T5,15267,1,15267
Pc_TPC_T5_231021,R3,20c,PcB,T5,13152,1,13152
Pc_TPC_T5_231021,R1,23c,PcB,T5,10269,1,10269
Pc_TPC_T5_231021,R2,23c,PcB,T5,19135,1,19135
Pc_TPC_T5_231021,R3,23c,PcB,T5,21043,1,21043
Pc_TPC_T5_231021,R1,25c,PcB,T5,15613,1,15613
Pc_TPC_T5_231021,R2,25c,PcB,T5,24427,1,24427
Pc_TPC_T5_231021,R3,25c,PcB,T5,31147,1,31147
Pc_TPC_T5_231021,R1,27c,PcB,T5,13415,1,13415
Pc_TPC_T5_231021,R2,27c,PcB,T5,8768,1,8768
Pc_TPC_T5_231021,R3,27c,PcB,T5,14049,1,14049
Pc_TPC_T5_231021,R1,29c,PcB,T5,5140,1,5140
Pc_TPC_T5_231021,R2,29c,PcB,T5,5666,1,5666
Pc_TPC_T5_231021,R3,29c,PcB,T5,6641,1,6641
