File ID,Rep ID,Spp,Orig Temp,Treatment ,,Count,,,Date,,,,,,,,
PcD_130122,R6,PcD,C,23,,"66,655",,,13/01/2022,,,,,,,,
PcD_130122,R1,PcD,C,27,,"9,535",,,13/01/2022,,,,,,,,
PcD_130122,R2,PcD,C,27,,"7,544",,,13/01/2022,,,,,,,,
PcD_130122,R3,PcD,C,27,,"4,988",,,13/01/2022,,,,,,,,
PcD_130122,R4,PcD,C,27,,"7,058.00",,,13/01/2022,,,,,,,,
PcD_130122,R5,PcD,C,27,,"6,569.00",,,13/01/2022,,,,,,,,
PcD_130122,R6,PcD,C,27,,"4,561.00",,,13/01/2022,,,,,,,,
PcD_200122,R1,PcD,C,23,,"55,698",,,20/01/2022,,,,,,,,
PcD_200122,R2,PcD,C,23,,"50,586",,,20/01/2022,,,,,,,,
PcD_200122,R3,PcD,C,23,,"50,023",,,20/01/2022,,,,,,,,
PcD_200122,R4,PcD,C,23,,"53,538",,,20/01/2022,,,,,,,,
PcD_200122,R5,PcD,C,23,,"51,987",,,20/01/2022,,,,,,,,
PcD_200122,R6,PcD,C,23,,"49,706",,,20/01/2022,,,,,,,,
PcD_200122,R1,PcD,C,27,,"25,527",,,20/01/2022,,,,,,,,
PcD_200122,R2,PcD,C,27,,"11,030",,,20/01/2022,,,,,,,,
PcD_200122,R3,PcD,C,27,,"18,589",,,20/01/2022,,,,,,,,
PcD_200122,R4,PcD,C,27,,"25,471",,,20/01/2022,,,,,,,,
PcD_200122,R5,PcD,C,27,,"16,369",,,20/01/2022,,,,,,,,
PcD_200122,R6,PcD,C,27,,"5,773",,,20/01/2022,,,,,,,,
PcD_270122,R1,PcD,C,23,,"49,146",,,27/01/2022,,,,,,,,
PcD_270122,R2,PcD,C,23,,"47,229",,,27/01/2022,,,,,,,,
PcD_270122,R3,PcD,C,23,,"46,880",,,27/01/2022,,,,,,,,
PcD_270122,R4,PcD,C,23,,"46,392",,,27/01/2022,,,,,,,,
PcD_270122,R5,PcD,C,23,,"41,038",,,27/01/2022,,,,,,,,
PcD_270122,R6,PcD,C,23,,"43,572",,,27/01/2022,,,,,,,,
PcD_270122,R1,PcD,C,27,,"56,385",,,27/01/2022,,,,,,,,
PcD_270122,R2,PcD,C,27,,"52,359",,,27/01/2022,,,,,,,,
PcD_270122,R3,PcD,C,27,,"52,743",,,27/01/2022,,,,,,,,
PcD_270122,R4,PcD,C,27,,"83,173",,,27/01/2022,,,,,,,,
PcD_270122,R5,PcD,C,27,,"56,820",,,27/01/2022,,,,,,,,
PcD_270122,R6,PcD,C,27,,"6,608",,,27/01/2022,,,,,,,,
PcD_030222,R1,PcD,C,23,,"47,649",,,03/02/2022,,,,,,,,
PcD_030222,R2,PcD,C,23,,"7,363",,,03/02/2022,,,,,,,,
PcD_030222,R3,PcD,C,23,,"47,693",,,03/02/2022,,,,,,,,
PcD_030222,R4,PcD,C,23,,"44,218",,,03/02/2022,,,,,,,,
PcD_030222,R5,PcD,C,23,,"54,036",,,03/02/2022,,,,,,,,
PcD_030222,R6,PcD,C,23,,"50,731",,,03/02/2022,,,,,,,,
PcD_030222,R1,PcD,C,27,,"107,830",,,03/02/2022,,,,,,,,
PcD_030222,R2,PcD,C,27,,"94,494",,,03/02/2022,,,,,,,,
PcD_030222,R3,PcD,C,27,,"99,123",,,03/02/2022,,,,,,,,
PcD_030222,R4,PcD,C,27,,"93,744",,,03/02/2022,,,,,,,,
PcD_030222,R5,PcD,C,27,,"108,438",,,03/02/2022,,,,,,,,
PcD_030222,R6,PcD,C,27,,"1,103",,,03/02/2022,,,,,,,,
PcD_100222,R1,PcD,C,23,,"46,648",,,10/02/2022,,,,,,,,
PcD_100222,R2,PcD,C,23,,"14,655",,,10/02/2022,,,,,,,,
PcD_100222,R3,PcD,C,23,,"30,278",,,10/02/2022,,,,,,,,
PcD_100222,R4,PcD,C,23,,"48,169",,,10/02/2022,,,,,,,,
PcD_100222,R5,PcD,C,23,,"49,570",,,10/02/2022,,,,,,,,
PcD_100222,R6,PcD,C,23,,"50,178",,,10/02/2022,,,,,,,,
PcD_100222,R1,PcD,C,27,,"67,785",,,10/02/2022,,,,,,,,
PcD_100222,R2,PcD,C,27,,"147,354",,,10/02/2022,,,,,,,,
PcD_100222,R3,PcD,C,27,,"154,099",,,10/02/2022,,,,,,,,
PcD_100222,R4,PcD,C,27,,"164,985",,,10/02/2022,,,,,,,,
PcD_100222,R5,PcD,C,27,,"132,388",,,10/02/2022,,,,,,,,
PcD_100222,R6,PcD,C,27,,"2,607",,,10/02/2022,,,,,,,,
PcD_170222,R1,PcD,C,23,,"35,368.00",,,17/02/2022,,,,,,,,
PcD_170222,R2,PcD,C,23,,"38,385",,,17/02/2022,,,,,,,,
PcD_170222,R3,PcD,C,23,,"39,192",,,17/02/2022,,,,,,,,
PcD_170222,R4,PcD,C,23,,"33,059",,,17/02/2022,,,,,,,,
PcD_170222,R5,PcD,C,23,,"45,936",,,17/02/2022,,,,,,,,
PcD_170222,R6,PcD,C,23,,"26,851",,,17/02/2022,,,,,,,,
PcD_170222,R1,PcD,C,27,,"39,236",,,17/02/2022,,,,,,,,
PcD_170222,R2,PcD,C,27,,"78,773",,,17/02/2022,,,,,,,,
PcD_170222,R3,PcD,C,27,,"39,505",,,17/02/2022,,,,,,,,
PcD_170222,R4,PcD,C,27,,"54,140",,,17/02/2022,,,,,,,,
PcD_170222,R5,PcD,C,27,,"117,931",,,17/02/2022,,,,,,,,
PcD_170222,R6,PcD,C,27,,"3,294",,,17/02/2022,,,,,,,,
PcD_240222,R1,PcD,C,23,,"43,535",,,24/02/2022,,,,,,,,
PcD_240222,R2,PcD,C,23,,"42,851",,,24/02/2022,,,,,,,,
PcD_240222,R3,PcD,C,23,,"43,396",,,24/02/2022,,,,,,,,
PcD_240222,R4,PcD,C,23,,"43,868",,,24/02/2022,,,,,,,,
PcD_240222,R5,PcD,C,23,,"42,119",,,24/02/2022,,,,,,,,
PcD_240222,R6,PcD,C,23,,"41,989",,,24/02/2022,,,,,,,,
PcD_240222,R1,PcD,C,27,,"47,017",,,24/02/2022,,,,,,,,
PcD_240222,R2,PcD,C,27,,"50,326",,,24/02/2022,,,,,,,,
PcD_240222,R3,PcD,C,27,,"52,928",,,24/02/2022,,,,,,,,
