"","diff","lwr","upr","p adj"
"23 @ 27c-23 @ 23c",-0.247314086768396,-0.438501041695935,-0.056127131840857,0.00850920254053811
"27 @ 23c-23 @ 23c",0.112670106968745,-0.0785168479587944,0.303857061896284,0.375153918940423
"27 @ 27c-23 @ 23c",0.0955264460502893,-0.0956605088772498,0.286713400977828,0.514689926256939
"27 @ 23c-23 @ 27c",0.359984193737141,0.168797238809602,0.55117114866468,0.000201534225219291
"27 @ 27c-23 @ 27c",0.342840532818685,0.151653577891146,0.534027487746224,0.000354929042343688
"27 @ 27c-27 @ 23c",-0.0171436609184554,-0.208330615845995,0.174043294009084,0.994268917998344
