"","diff","lwr","upr","p adj"
"23 @ 27c-23 @ 23c",-0.247314086768396,-0.289257851254277,-0.205370322282514,1.22084564679881e-11
"27 @ 23c-23 @ 23c",0.154037500376544,0.110046509058187,0.198028491694902,5.92351581119033e-08
"27 @ 27c-23 @ 23c",0.180520544861581,0.136529553543223,0.224511536179938,4.94582708121527e-09
"27 @ 23c-23 @ 27c",0.40135158714494,0.357360595826582,0.445342578463297,3.37507799486048e-14
"27 @ 27c-23 @ 27c",0.427834631629976,0.383843640311619,0.471825622948334,2.75335310107039e-14
"27 @ 27c-27 @ 23c",0.0264830444850365,-0.0194640474261662,0.0724301363962392,0.388172039367277
