File ID,Rep ID,Spp,Orig Temp,Treatment ,,Timepoint,Cell count,Dilution ,Actual Cell count,,,,,,Cell,,,,
PcD_Recip_T2_050222,R6,PcD,27c,Control,,T2,"1,327",1,1327,,,,,,A12,,,,
PcD_Recip_T2_050222,R1,PcD,23c,recip,27,T2,"10,961",1,10961,,,,,,B01,,,,
PcD_Recip_T2_050222,R2,PcD,23c,recip,27,T2,"11,012",1,11012,,,,,,B02,,,,
PcD_Recip_T2_050222,R3,PcD,23c,recip,27,T2,"11,001",1,11001,,,,,,B03,,,,
PcD_Recip_T2_050222,R4,PcD,23c,recip,27,T2,"10,659",1,10659,,,,,,B04,,,,
PcD_Recip_T2_050222,R5,PcD,23c,recip,27,T2,"11,077",1,11077,,,,,,B05,,,,
PcD_Recip_T2_050222,R6,PcD,23c,recip,27,T2,"1,679",1,1679,,,,,,B06,,,,
PcD_Recip_T2_050222,R1,PcD,27c,recip,23,T2,"2,669",1,2669,,,,,,B07,,,,
PcD_Recip_T2_050222,R2,PcD,27c,recip,23,T2,"3,650",1,3650,,,,,,B08,,,,
PcD_Recip_T2_050222,R3,PcD,27c,recip,23,T2,"4,970",1,4970,,,,,,B09,,,,
PcD_Recip_T2_050222,R4,PcD,27c,recip,23,T2,"4,706",1,4706,,,,,,B10,,,,
PcD_Recip_T2_050222,R5,PcD,27c,recip,23,T2,"5,052",1,5052,,,,,,B11,,,,
PcD_Recip_T2_050222,R6,PcD,27c,recip,23,T2,"5,581",1,5581,,,,,,B12,,,,
PcD_Recip_T3_060222,R1,PcD,23c,Control,,T3,"7,874",1,7874,,,,,,A01,,,,
PcD_Recip_T3_060222,R2,PcD,23c,Control,,T3,"3,154",1,3154,,,,,,A02,,,,
PcD_Recip_T3_060222,R3,PcD,23c,Control,,T3,"6,039",1,6039,,,,,,A03,,,,
PcD_Recip_T3_060222,R4,PcD,23c,Control,,T3,"9,280",1,9280,,,,,,A04,,,,
PcD_Recip_T3_060222,R5,PcD,23c,Control,,T3,"9,767",1,9767,,,,,,A05,,,,
PcD_Recip_T3_060222,R6,PcD,23c,Control,,T3,"10,021",1,10021,,,,,,A06,,,,
PcD_Recip_T3_060222,R1,PcD,27c,Control,,T3,"21,885",1,21885,,,,,,A07,,,,
PcD_Recip_T3_060222,R2,PcD,27c,Control,,T3,"18,728",1,18728,,,,,,A08,,,,
PcD_Recip_T3_060222,R3,PcD,27c,Control,,T3,"16,554",1,16554,,,,,,A09,,,,
PcD_Recip_T3_060222,R4,PcD,27c,Control,,T3,"19,411",1,19411,,,,,,A10,,,,
PcD_Recip_T3_060222,R5,PcD,27c,Control,,T3,"19,889",1,19889,,,,,,A11,,,,
PcD_Recip_T3_060222,R6,PcD,27c,Control,,T3,"1,579",1,1579,,,,,,A12,,,,
PcD_Recip_T3_060222,R1,PcD,23c,recip,27,T3,"18,576",1,18576,,,,,,B01,,,,
PcD_Recip_T3_060222,R2,PcD,23c,recip,27,T3,"17,424",1,17424,,,,,,B02,,,,
PcD_Recip_T3_060222,R3,PcD,23c,recip,27,T3,"18,182",1,18182,,,,,,B03,,,,
PcD_Recip_T3_060222,R4,PcD,23c,recip,27,T3,"18,108",1,18108,,,,,,B04,,,,
PcD_Recip_T3_060222,R5,PcD,23c,recip,27,T3,"18,706",1,18706,,,,,,B05,,,,
PcD_Recip_T3_060222,R6,PcD,23c,recip,27,T3,"2,078",1,2078,,,,,,B06,,,,
PcD_Recip_T3_060222,R1,PcD,27c,recip,23,T3,"3,015",1,3015,,,,,,B07,,,,
PcD_Recip_T3_060222,R2,PcD,27c,recip,23,T3,"4,073",1,4073,,,,,,B08,,,,
PcD_Recip_T3_060222,R3,PcD,27c,recip,23,T3,"6,227",1,6227,,,,,,B09,,,,
PcD_Recip_T3_060222,R4,PcD,27c,recip,23,T3,"5,718",1,5718,,,,,,B10,,,,
PcD_Recip_T3_060222,R5,PcD,27c,recip,23,T3,"6,265",1,6265,,,,,,B11,,,,
PcD_Recip_T3_060222,R6,PcD,27c,recip,23,T3,"6,826",1,6826,,,,,,B12,,,,
PcD_Recip_T4_070222,R1,PcD,23c,Control,,T4,"12,290.00",1,12290,,,,,,A01,,,,
PcD_Recip_T4_070222,R2,PcD,23c,Control,,T4,"4,616.00",1,4616,,,,,,A02,,,,
PcD_Recip_T4_070222,R3,PcD,23c,Control,,T4,"8,982",1,8982,,,,,,A03,,,,
PcD_Recip_T4_070222,R4,PcD,23c,Control,,T4,"14,103",1,14103,,,,,,A04,,,,
PcD_Recip_T4_070222,R5,PcD,23c,Control,,T4,"14,869",1,14869,,,,,,A05,,,,
PcD_Recip_T4_070222,R6,PcD,23c,Control,,T4,"15,418",1,15418,,,,,,A06,,,,
PcD_Recip_T4_070222,R1,PcD,27c,Control,,T4,"39,502",1,39502,,,,,,A07,,,,
