"","d_name","rep_name","mod","aic","aicc","topt"
"71","lm1b10","R2","pawar_2018",-3.64812363677132,26.3518763632287,24.77
"72","lm1b10","R3","pawar_2018",-5.00989801517243,24.9901019848276,24.85
"73","lm","R1","weibull_1995",-4.82159597879933,25.1784040212007,22.62
"74","lm","R2","weibull_1995",-6.93799309200518,23.0620069079948,22.53
"75","lm","R3","weibull_1995",-7.88828214533121,22.1117178546688,22.36
"76","lm1b","R1","weibull_1995",-2.62957661124577,27.3704233887542,24.5
"77","lm1b","R2","weibull_1995",-5.00605749119202,24.993942508808,23.5
"78","lm1b","R3","weibull_1995",-5.27149877702024,24.7285012229798,23.11
"79","lm1b10","R1","weibull_1995",-3.60640421592024,26.3935957840798,24.48
"80","lm1b10","R2","weibull_1995",-5.92342991797156,24.0765700820284,23.89
"81","lm1b10","R3","weibull_1995",-7.27674594908035,22.7232540509197,24.36
