"","diff","lwr","upr","p adj"
"29c:23-23c:23",-0.173321430898226,-0.202637115129545,-0.144005746666907,2.31148433726958e-12
"23c:29-23c:23",-0.00662420882092207,-0.0359398930522413,0.0226914754103971,0.920337123612176
"29c:29-23c:23",-0.139564873909928,-0.168880558141248,-0.110249189678609,1.20391696611932e-10
"23c:29-29c:23",0.166697222077304,0.137381537845985,0.196012906308623,4.80460116136783e-12
"29c:29-29c:23",0.0337565569882978,0.00444087275697861,0.063072241219617,0.020445230115832
"29c:29-23c:29",-0.132940665089006,-0.162256349320326,-0.103624980857687,2.87933787923578e-10
