"","d_name","rep_name","mod","aic","aicc","topt"
"72","lm3a","R3","sharpeschoolfull_1981",-32.394008589682,Inf,23.98
"73","lmer3b","R1","sharpeschoolfull_1981",-27.692320490837,Inf,23.89
"74","lmer3b","R2","sharpeschoolfull_1981",-27.7193186158697,Inf,23.69
"75","lmer3b","R3","sharpeschoolfull_1981",-28.1368892699119,Inf,23.89
"76","lm3b","R1","sharpeschoolfull_1981",-27.1150948620522,Inf,23.54
"77","lm3b","R2","sharpeschoolfull_1981",-26.4142545614339,Inf,23.85
"78","lm3b","R3","sharpeschoolfull_1981",-28.5545425435638,Inf,24.04
"79","gr4","R1","sharpeschoolfull_1981",-35.9199725597375,Inf,23.61
"80","gr4","R2","sharpeschoolfull_1981",-33.2623720374983,Inf,23.81
"81","gr4","R3","sharpeschoolfull_1981",-31.02161535512,Inf,24.14
"82","gr5a","R1","sharpeschoolfull_1981",-9.62670677552176,Inf,30
"83","gr5a","R2","sharpeschoolfull_1981",-55.375357936682,Inf,30
"84","gr5a","R3","sharpeschoolfull_1981",-45.502833300697,Inf,29.38
"85","gr6","R1","sharpeschoolfull_1981",-1.39891302960847,Inf,22.44
"86","gr6","R2","sharpeschoolfull_1981",2.08698568561993,Inf,23.83
"87","gr6","R3","sharpeschoolfull_1981",-3.10560911134471,Inf,23.95
"88","gr7a","R1","sharpeschoolfull_1981",-11.9757567767262,Inf,23.38
"89","gr7a","R2","sharpeschoolfull_1981",-10.8884879133079,Inf,23.81
"90","gr7a","R3","sharpeschoolfull_1981",-21.8697167469023,Inf,24.23
"91","gr7b","R1","sharpeschoolfull_1981",4.57095990647382,Inf,19.83
"92","gr7b","R2","sharpeschoolfull_1981",3.88966311750074,Inf,23.23
"93","gr7b","R3","sharpeschoolfull_1981",5.21200757358628,Inf,24.12
"94","gr7b05","R1","sharpeschoolfull_1981",-20.873554739956,Inf,24.66
"95","gr7b05","R2","sharpeschoolfull_1981",-19.2312220015577,Inf,24.84
"96","gr7b05","R3","sharpeschoolfull_1981",-20.9427769571288,Inf,24.77
"97","lmer","R1","modifiedgaussian_2006",-42.1991345913061,-12.1991345913061,20.59
"98","lmer","R2","modifiedgaussian_2006",-42.190006667575,-12.190006667575,20.59
"99","lmer","R3","modifiedgaussian_2006",-42.5662058209479,-12.5662058209479,20.57
"100","lm","R1","modifiedgaussian_2006",-39.4100044283501,-9.41000442835012,20.64
"101","lm","R2","modifiedgaussian_2006",-39.5835325429758,-9.58353254297583,20.56
"102","lm","R3","modifiedgaussian_2006",-46.1206838829043,-16.1206838829043,20.55
"103","lmer1","R1","modifiedgaussian_2006",-25.4250115911591,4.57498840884087,20.85
"104","lmer1","R2","modifiedgaussian_2006",-25.3101526028177,4.6898473971823,20.84
"105","lmer1","R3","modifiedgaussian_2006",-25.80047054562,4.19952945438001,20.84
"106","lm1","R1","modifiedgaussian_2006",-25.763262393434,4.23673760656604,20.88
"107","lm1","R2","modifiedgaussian_2006",-25.709356370228,4.29064362977205,20.83
"108","lm1","R3","modifiedgaussian_2006",-24.8900985476264,5.10990145237365,20.82
"109","lmer2","R1","modifiedgaussian_2006",-25.434063557862,4.56593644213797,20.85
"110","lmer2","R2","modifiedgaussian_2006",-25.3171029031267,4.68289709687335,20.85
"111","lmer2","R3","modifiedgaussian_2006",-25.8058371589595,4.19416284104051,20.84
"112","lm2","R1","modifiedgaussian_2006",-25.7785244795183,4.2214755204817,20.88
"113","lm2","R2","modifiedgaussian_2006",-25.7110128131073,4.28898718689267,20.83
"114","lm2","R3","modifiedgaussian_2006",-24.8916404070382,5.10835959296182,20.82
"115","lmer3a","R1","modifiedgaussian_2006",-20.790475025877,9.209524974123,20.74
"116","lmer3a","R2","modifiedgaussian_2006",-20.8454478207097,9.1545521792903,20.72
"117","lmer3a","R3","modifiedgaussian_2006",-20.3141584005696,9.68584159943039,20.73
"118","lm3a","R1","modifiedgaussian_2006",-21.2840265693666,8.71597343063336,20.74
"119","lm3a","R2","modifiedgaussian_2006",-20.8026671584464,9.19733284155357,20.71
"120","lm3a","R3","modifiedgaussian_2006",-19.6702768056252,10.3297231943748,20.73
"121","lmer3b","R1","modifiedgaussian_2006",-20.8619857955814,9.13801420441859,20.7
"122","lmer3b","R2","modifiedgaussian_2006",-20.9155874962527,9.08441250374731,20.68
"123","lmer3b","R3","modifiedgaussian_2006",-20.3948153252573,9.60518467474274,20.7
"124","lm3b","R1","modifiedgaussian_2006",-21.1731022381754,8.82689776182464,20.71
"125","lm3b","R2","modifiedgaussian_2006",-20.7822746512788,9.21772534872123,20.67
"126","lm3b","R3","modifiedgaussian_2006",-19.654121923186,10.345878076814,20.7
"127","gr4","R1","modifiedgaussian_2006",-25.5066864483952,4.49331355160481,20.79
"128","gr4","R2","modifiedgaussian_2006",-25.3427615728228,4.65723842717723,20.75
"129","gr4","R3","modifiedgaussian_2006",-24.6764588426167,5.32354115738326,20.73
"130","gr5a","R1","modifiedgaussian_2006",-0.276387647556181,29.7236123524438,30
"131","gr5a","R2","modifiedgaussian_2006",-14.1289289828041,15.8710710171959,30
"132","gr5a","R3","modifiedgaussian_2006",-17.3149463803922,12.6850536196078,28.99
"133","gr6","R1","modifiedgaussian_2006",-8.59701718107553,21.4029828189245,20.35
"134","gr6","R2","modifiedgaussian_2006",-12.3694454835301,17.6305545164699,19.39
"135","gr6","R3","modifiedgaussian_2006",-14.0747280304245,15.9252719695755,20.58
"136","gr7a","R1","modifiedgaussian_2006",-24.8165151025588,5.18348489744116,20.94
"137","gr7a","R2","modifiedgaussian_2006",-27.2776473162632,2.72235268373683,20.79
"138","gr7a","R3","modifiedgaussian_2006",-19.5962041281455,10.4037958718545,21.11
"139","gr7b","R1","modifiedgaussian_2006",-7.10471800012804,22.895281999872,18.49
"140","gr7b","R2","modifiedgaussian_2006",-8.99401208279674,21.0059879172033,19.72
"141","gr7b","R3","modifiedgaussian_2006",-5.42181518354482,24.5781848164552,20.52
"142","gr7b05","R1","modifiedgaussian_2006",-17.0488331193784,12.9511668806216,21.32
"143","gr7b05","R2","modifiedgaussian_2006",-15.6229342072959,14.3770657927041,21.3
"144","gr7b05","R3","modifiedgaussian_2006",-14.5360401660643,15.4639598339357,21.38
"145","lmer","R1","oneill_1972",-29.0884132462188,0.911586753781151,21.42
"146","lmer","R2","oneill_1972",-29.1110607242367,0.88893927576332,21.42
"147","lmer","R3","oneill_1972",-29.577976094746,0.422023905254008,21.41
"148","lm","R1","oneill_1972",-28.3507655822802,1.64923441771978,21.44
"149","lm","R2","oneill_1972",-28.1120189458415,1.88798105415853,21.34
"150","lm","R3","oneill_1972",-30.603096335146,-0.60309633514602,21.42
"151","lmer1","R1","oneill_1972",-25.1773816413274,4.82261835867264,22.29
"152","lmer1","R2","oneill_1972",-25.0068638399685,4.99313616003147,22.26
"153","lmer1","R3","oneill_1972",-24.734433832452,5.26556616754797,22.26
"154","lm1","R1","oneill_1972",-26.7864993538298,3.21350064617017,22.33
